Product ID,Product Name,Category,Sub-category,Cost Price,Selling Price
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,20.4,30.19
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,526.77,704.78
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,2.73,4.81
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,32.93,41.4
OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,Envelopes,0.84,2.04
OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,8.93,17.98
OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,0.68,1.14
OFF-AR-10001683,Lumber Crayons,Office Supplies,Art,3.48,7.88
OFF-PA-10000249,Easy-staple paper,Office Supplies,Paper,7.12,12.28
TEC-PH-10004977,GE 30524EE4,Technology,Phones,93.29,156.79
FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,70.83,95.46
OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,8.2,14.17
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,151.32,215.31
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,56.73,80.78
TEC-PH-10000486,Plantronics HL10 Handset Lifter,Technology,Phones,61.08,92.79
TEC-PH-10004093,Panasonic Kx-TS550,Technology,Phones,23.79,36.79
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,20.14,38.94
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,32.11,59.76
TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,11.07,18.39
OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,3.02,6.98
OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,25.04,47.69
TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,9.13,15.0
TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,6.46,10.9
OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders,1.68,3.5
OFF-LA-10002762,Avery 485,Office Supplies,Labels,7.44,12.53
FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,Furnishings,2.23,3.08
FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,Chairs,54.15,71.99
OFF-FA-10000304,Advantus Push Pins,Office Supplies,Fasteners,1.23,2.18
TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Technology,Phones,101.19,185.39
OFF-ST-10000604,Home/Office Personal File Carts,Office Supplies,Storage,15.11,34.76
OFF-PA-10001569,Xerox 232,Office Supplies,Paper,3.66,6.48
FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,Chairs,44.18,60.33
OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper,3.16,7.28
OFF-BI-10001460,Plastic Binding Combs,Office Supplies,Binders,6.87,12.12
OFF-AR-10001868,Prang Dustless Chalk Sticks,Office Supplies,Art,0.67,1.68
TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories,3.46,6.29
OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders,1.91,4.3
OFF-PA-10003892,Xerox 1943,Office Supplies,Paper,26.41,48.91
FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Furniture,Furnishings,14.37,19.94
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,30.98,42.62
OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,59.75,139.13
TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Technology,Phones,22.46,41.99
OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,18.26,37.94
OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,2.45,4.62
OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper,3.76,6.35
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,77.48,103.99
FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,44.39,60.65
OFF-ST-10004123,Safco Industrial Wire Shelving System,Office Supplies,Storage,48.56,81.88
OFF-BI-10004182,Economy Binders,Office Supplies,Binders,0.68,1.66
FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,5.76,7.28
OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage,5.69,11.35
FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,6.52,8.69
OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,101.47,208.16
OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,2.14,4.46
OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art,1.57,2.98
OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage,9.01,21.39
OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,14.68,28.71
OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,Storage,36.99,76.79
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,85.19,113.23
TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,13.4,19.99
OFF-LA-10000134,Avery 511,Office Supplies,Labels,1.31,2.77
OFF-ST-10003442,Eldon Portable Mobile Manager,Office Supplies,Storage,15.61,28.28
OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,Office Supplies,Art,3.68,6.7
OFF-PA-10000304,Xerox 1995,Office Supplies,Paper,2.37,5.83
OFF-PA-10003177,Xerox 1999,Office Supplies,Paper,2.94,6.48
FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Furnishings,12.57,17.78
OFF-BI-10002852,Ibico Standard Transparent Covers,Office Supplies,Binders,5.61,13.18
OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders,5.83,12.31
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,9.9,13.79
OFF-BI-10001721,Trimflex Flexible Post Binders,Office Supplies,Binders,7.75,17.1
OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,5.73,12.98
OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper,5.17,9.23
TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,23.96,35.99
OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders,0.35,0.6
OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper,2.83,5.98
TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories,33.8,49.77
FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings,30.61,42.65
OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders,5.2,12.29
TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Accessories,6.14,9.26
TEC-PH-10002844,Speck Products Candyshell Flip Case,Technology,Phones,13.82,24.49
OFF-AR-10000390,Newell Chalk Holder,Office Supplies,Art,1.91,4.13
TEC-AC-10000844,Logitech Gaming G510s - Keyboard,Technology,Accessories,53.63,84.99
FUR-FU-10001934,Magnifier Swing Arm Lamp,Furniture,Furnishings,15.46,20.98
OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,17.49,37.98
OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",Office Supplies,Binders,2.1,3.63
OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners,1.66,3.58
OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,Envelopes,1.02,2.36
OFF-PA-10004965,Xerox 1921,Office Supplies,Paper,4.03,7.99
OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,9.96,21.74
FUR-TA-10001768,Hon Racetrack Conference Tables,Furniture,Tables,132.9,170.63
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,150.36,289.29
FUR-FU-10002157,Artistic Insta-Plaque,Furniture,Furnishings,12.31,15.68
OFF-ST-10000777,"Companion Letter/Legal File, Black",Office Supplies,Storage,22.49,37.76
OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes,5.52,12.78
TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,Phones,6.27,9.72
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,178.11,228.78
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Furniture,Tables,149.08,205.9
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,1.45,3.18
OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage,22.19,43.57
FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,59.21,79.52
TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones,9.53,15.99
OFF-PA-10002377,Xerox 1916,Office Supplies,Paper,12.4,22.42
OFF-FA-10002780,Staples,Office Supplies,Fasteners,1.29,2.38
OFF-PA-10001804,Xerox 195,Office Supplies,Paper,3.08,5.34
OFF-PA-10001736,Xerox 1880,Office Supplies,Paper,16.16,35.44
OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,Art,1.64,2.88
OFF-FA-10002988,Ideal Clamps,Office Supplies,Fasteners,0.79,1.81
OFF-BI-10004781,GBC Wire Binding Strips,Office Supplies,Binders,5.19,9.52
OFF-SU-10001218,Fiskars Softgrip Scissors,Office Supplies,Supplies,6.36,10.98
OFF-AR-10000940,Newell 343,Office Supplies,Art,1.3,2.94
OFF-EN-10004030,Convenience Packs of Business Envelopes,Office Supplies,Envelopes,1.57,3.26
OFF-PA-10004327,Xerox 1911,Office Supplies,Paper,23.15,47.9
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,133.95,251.83
FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,Furnishings,23.23,29.34
TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,Phones,19.14,34.95
TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,Technology,Phones,29.47,49.99
OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders,13.33,27.45
OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,Appliances,12.99,31.58
TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,Phones,62.95,101.59
OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Paper,3.1,6.67
OFF-PA-10002254,Xerox 1883,Office Supplies,Paper,15.6,26.38
OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage,5.58,13.48
OFF-AR-10001547,Newell 311,Office Supplies,Art,1.03,2.21
OFF-LA-10002475,Avery 519,Office Supplies,Labels,4.01,7.31
TEC-PH-10004536,Avaya 5420 Digital phone,Technology,Phones,87.84,134.99
OFF-PA-10002751,Xerox 1920,Office Supplies,Paper,3.43,5.98
TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,Technology,Accessories,14.38,27.19
OFF-EN-10001990,Staple envelope,Office Supplies,Envelopes,2.87,5.68
OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,5.54,13.84
OFF-AR-10004441,BIC Brite Liner Highlighters,Office Supplies,Art,2.07,4.14
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,552.29,1019.99
OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,66.43,114.97
FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs,159.74,220.96
OFF-AR-10002656,Sanford Liquid Accent Highlighters,Office Supplies,Art,2.86,6.68
OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances,87.14,177.98
TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,Technology,Phones,27.11,47.99
OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",Office Supplies,Paper,5.97,14.02
OFF-PA-10001144,Xerox 1913,Office Supplies,Paper,26.1,55.48
FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs,35.21,48.59
OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,68.32,131.12
OFF-LA-10003148,Avery 51,Office Supplies,Labels,3.62,6.3
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances,39.4,97.26
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,44.44,60.73
OFF-SU-10002189,Acme Rosewood Handle Letter Opener,Office Supplies,Supplies,1.92,3.97
OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies,Art,1.94,3.28
OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Storage,6.75,15.51
TEC-AC-10004659,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Accessories,34.62,58.39
TEC-PH-10003273,AT&T TR1909W,Technology,Phones,64.62,113.39
TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),Technology,Phones,12.82,23.99
TEC-AC-10002345,HP Standard 104 key PS/2 Keyboard,Technology,Accessories,8.21,14.5
OFF-BI-10001890,Avery Poly Binder Pockets,Office Supplies,Binders,1.91,3.22
TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,11.09,17.68
OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,Storage,8.48,15.51
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,160.1,224.78
TEC-PH-10001552,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,Phones,6.63,10.76
OFF-PA-10000061,Xerox 205,Office Supplies,Paper,3.3,6.48
OFF-AR-10003514,4009 Highlighters by Sanford,Office Supplies,Art,2.21,3.98
OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,Art,1.98,4.63
OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,Art,1.18,2.02
OFF-ST-10001414,Decoflex Hanging Personal Folder File,Office Supplies,Storage,8.12,15.42
OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,1.38,2.7
OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,Paper,2.84,5.35
OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Office Supplies,Paper,4.53,8.15
FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,81.26,109.38
OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,Appliances,1.22,2.6
OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,Office Supplies,Appliances,56.23,132.57
FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings,3.74,5.02
TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,Technology,Phones,64.83,111.19
OFF-ST-10000642,"Tennsco Lockers, Gray",Office Supplies,Storage,10.55,18.88
TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,Phones,28.3,52.79
OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",Office Supplies,Fasteners,2.4,5.81
OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Storage,37.19,73.59
TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,Technology,Accessories,6.7,11.7
OFF-LA-10004544,Avery 505,Office Supplies,Labels,4.76,11.84
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases,114.9,153.83
TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,Technology,Machines,164.98,286.0
TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,Accessories,31.11,55.99
TEC-PH-10002563,Adtran 1202752G1,Technology,Phones,56.84,100.79
OFF-FA-10000585,OIC Bulk Pack Metal Binder Clips,Office Supplies,Fasteners,1.17,2.79
OFF-PA-10004000,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Office Supplies,Paper,2.03,3.78
FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,Furnishings,12.76,18.18
TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,Technology,Machines,80.09,149.7
OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Office Supplies,Art,6.4,13.58
OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Office Supplies,Art,0.9,2.2
FUR-TA-10003748,Bevis 36 x 72 Conference Tables,Furniture,Tables,72.45,99.59
OFF-ST-10002485,Rogers Deluxe File Chest,Office Supplies,Storage,11.63,19.78
FUR-CH-10004860,Global Low Back Tilter Chair,Furniture,Chairs,59.05,80.78
FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs,36.55,48.71
OFF-BI-10001679,GBC Instant Index System for Binding Systems,Office Supplies,Binders,1.57,2.66
FUR-TA-10001705,Bush Advantage Collection Round Conference Table,Furniture,Tables,122.75,159.45
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables,230.06,300.9
FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,Furnishings,60.54,86.02
TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Technology,Accessories,63.54,119.56
OFF-PA-10002479,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,2.59,5.28
OFF-PA-10003349,Xerox 1957,Office Supplies,Paper,2.96,5.83
FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings,119.79,167.87
FUR-FU-10004351,Staple-based wall hangings,Furniture,Furnishings,6.23,8.77
TEC-PH-10000011,PureGear Roll-On Screen Protector,Technology,Phones,10.52,15.99
FUR-TA-10002607,KI Conference Tables,Furniture,Tables,34.43,46.08
FUR-FU-10002505,Eldon 100 Class Desk Accessories,Furniture,Furnishings,1.73,2.36
OFF-ST-10002276,Safco Steel Mobile File Cart,Office Supplies,Storage,39.4,83.36
OFF-PA-10004082,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Paper,4.14,7.98
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,148.97,300.65
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,121.24,160.78
OFF-PA-10004569,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Office Supplies,Paper,4.3,7.61
OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy",Office Supplies,Storage,8.02,13.43
OFF-EN-10003296,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Envelopes,39.28,90.48
OFF-ST-10004804,"Belkin 19"" Vented Equipment Shelf, Black",Office Supplies,Storage,21.78,41.18
TEC-PH-10001580,Logitech Mobile Speakerphone P710e - speaker phone,Technology,Phones,66.6,107.98
TEC-AC-10000290,Sabrent 4-Port USB 2.0 Hub,Technology,Accessories,3.57,6.79
OFF-ST-10002790,Safco Industrial Shelving,Office Supplies,Storage,25.35,59.08
OFF-BI-10003460,Acco 3-Hole Punch,Office Supplies,Binders,1.88,3.5
OFF-AP-10002203,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Office Supplies,Appliances,0.41,0.81
TEC-MA-10003353,Xerox WorkCentre 6505DN Laser Multifunction Printer,Technology,Machines,189.49,359.99
TEC-PH-10001433,Cisco Small Business SPA 502G VoIP phone,Technology,Phones,44.57,82.06
TEC-AC-10004469,Microsoft Sculpt Comfort Mouse,Technology,Accessories,21.83,39.95
OFF-AR-10003602,"Quartet Omega Colored Chalk, 12/Pack",Office Supplies,Art,3.06,5.84
OFF-FA-10003472,Bagged Rubber Bands,Office Supplies,Fasteners,0.55,1.26
OFF-ST-10004180,Safco Commercial Shelving,Office Supplies,Storage,20.39,46.51
OFF-EN-10004386,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Office Supplies,Envelopes,11.92,23.99
OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,99.66,181.46
TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,18.46,29.99
FUR-FU-10003274,Regeneration Desk Collection,Furniture,Furnishings,1.41,1.76
OFF-BI-10002557,Presstex Flexible Ring Binders,Office Supplies,Binders,2.07,3.64
OFF-PA-10002615,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Office Supplies,Paper,1.8,4.41
OFF-AR-10001427,Newell 330,Office Supplies,Art,2.97,5.98
OFF-PA-10000673,"Post-it Important Message Note Pad, Neon Colors, 50 Sheets/Pad",Office Supplies,Paper,3.1,6.55
OFF-PA-10004470,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Office Supplies,Paper,3.37,5.68
OFF-ST-10000876,Eldon Simplefile Box Office,Office Supplies,Storage,6.36,12.44
OFF-LA-10002043,Avery 489,Office Supplies,Labels,4.92,10.35
OFF-BI-10004967,Round Ring Binders,Office Supplies,Binders,0.6,1.14
TEC-PH-10001760,Bose SoundLink Bluetooth Speaker,Technology,Phones,97.67,159.2
FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables,129.04,181.8
OFF-PA-10000474,Easy-staple paper,Office Supplies,Paper,14.36,35.44
TEC-AC-10001956,Microsoft Arc Touch Mouse,Technology,Accessories,29.44,53.95
OFF-PA-10004100,Xerox 216,Office Supplies,Paper,2.87,5.18
OFF-BI-10000778,GBC VeloBinder Electric Binding Machine,Office Supplies,Binders,20.7,36.29
OFF-SU-10000646,Premier Automatic Letter Opener,Office Supplies,Supplies,106.73,192.3
OFF-FA-10002983,Advantus SlideClip Paper Clips,Office Supplies,Fasteners,1.56,3.41
OFF-LA-10004689,Avery 512,Office Supplies,Labels,1.49,2.89
TEC-AC-10002001,Logitech Wireless Gaming Headset G930,Technology,Accessories,69.84,127.99
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,35.11,46.38
FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furniture,Furnishings,26.86,37.55
FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Furniture,Chairs,59.04,81.58
